"gene","rho_inflammatory","p_inflammatory","fdr_inflammatory","rho_oxphos","p_oxphos","fdr_oxphos","neglog10FDR_oxph","status_oxph"
"HBA2",-0.107486055005149,0.229046827172366,0.421118760949251,-0.220799289752465,0.0126117948971795,0.0471401200145803,1.32660931613491,"Not significant"
"OAZ1",-0.175906521348389,0.0479039936295158,0.13520491089578,-0.190220960620211,0.0321866606673468,0.0987421284879621,1.00549751535212,"Not significant"
"HBB",-0.314969600021606,0.000310140721385012,0.00197340172213594,-0.469952869299957,2.48511733255413e-08,8.10934720748761e-07,6.09101410455537,"Significant"
"TMSB4X",-0.523055117944167,2.81450890081096e-10,1.25105668462007e-08,-0.461210943283481,4.84272540744856e-08,1.41997231756336e-06,5.84772012212868,"Significant"
"H3F3A",-0.226564638964218,0.0104249055225937,0.0399269596655405,-0.130856641814179,0.142536074049311,0.295242849254341,0.529820612146247,"Not significant"
"FTL",0.374674166733022,1.42625880934662e-05,0.000130817518718015,0.124128908315594,0.164403100184965,0.325943073093265,0.486858244104812,"Not significant"
"LOC440926",0.507099276877682,1.17348210670475e-09,4.0554445498056e-08,0.367036362402599,2.19077709415763e-05,0.000247943144003202,3.60564789609537,"Significant"
"ACTB",0.303846699256202,0.000515051796319038,0.00305345944339821,0.439184709540872,2.39988710296484e-07,5.46010007765091e-06,5.26279939708038,"Significant"
"CLUAP1",-0.409476360110953,1.75081696025843e-06,2.09357432999724e-05,-0.225739598238691,0.0107158483578769,0.0414004958285973,1.38299445756668,"Not significant"
"C19orf31",-0.216570444416309,0.0144614733050457,0.0523580668990709,-0.195838749350106,0.0273432593485389,0.0867501969671993,1.06172953046596,"Not significant"
"LAIR1",-0.420383732863791,8.62803544539259e-07,1.12298367186049e-05,-0.476831888392392,1.45071191493864e-08,5.16244145232549e-07,6.28714486067717,"Significant"
"IMAA",-0.325798328129506,0.00018565889185299,0.00125429432334301,-0.359635132412306,3.28684680174387e-05,0.000348567501640925,3.45771310637101,"Significant"
"S100A9",-0.0377282227325726,0.673666291393946,0.816808203623146,-0.0728157922621584,0.415897325869353,0.606759108237,0.216983695626635,"Not significant"
"TPT1",0.0981885859254836,0.272097643602494,0.471337414995534,0.342641740129198,8.03854207029345e-05,0.000741083473603931,3.13013287152968,"Significant"
"RN7SL1",-0.187304667646701,0.0349751823480761,0.106055274520338,-0.132214369914691,0.138403795248358,0.289067000220275,0.539001484393866,"Not significant"
"FARSLB",-0.155223253633378,0.081410578921226,0.202192374637623,-0.0193644444865744,0.828918545858702,0.909496803107679,0.0411988231481989,"Not significant"
"ITIH5",-0.304887479766482,0.000491588830228838,0.00293843748627401,-0.249433677239026,0.00468361147862622,0.021339185293509,1.67082216547798,"Not significant"
"F2R",-0.421517169665441,8.00482808150116e-07,1.05166302716704e-05,-0.372236558258203,1.63756891131255e-05,0.000192882004867567,3.71470828843319,"Significant"
"ORC6L",-0.101550220143978,0.25594099879122,0.452224144152559,-0.0104636558984617,0.907052865808563,0.951899295930784,0.0214089944043067,"Not significant"
"LOC100008589",-0.441563428011772,2.02984106597608e-07,3.2527879859167e-06,-0.465567556332437,3.48102208628223e-08,1.07064834558404e-06,5.9703531497567,"Significant"
"IFITM2",0.375513920422904,1.35961538969636e-05,0.000125344681529391,0.0939744471510706,0.293306920276377,0.48392083462741,0.315225679464158,"Not significant"
"HLA-A",0.256401171660229,0.00361740442763303,0.0163343463304201,0.0579891898104154,0.517250941480263,0.6943875159651,0.158398095717806,"Not significant"
"NAG18",-0.382469361953318,9.10035500369639e-06,8.82976596752786e-05,-0.237840799374643,0.00709013955549911,0.0296954921053441,1.52730947332131,"Not significant"
"ROCK2",-0.211562283580026,0.0169539251483298,0.0594983683647411,-0.149649905953826,0.0931005595919214,0.218255402420159,0.661034997509101,"Not significant"
"ARHGDIB",0.475459535753841,1.61669835865345e-08,3.68095149369793e-07,0.441272953245178,2.07191991940346e-07,4.81391548623972e-06,5.31750153852753,"Significant"
"ACTG1",0.464709572501846,3.71623027919676e-08,7.5522324389589e-07,0.452778841958884,9.057149339138e-08,2.40876131314348e-06,5.61820623259627,"Significant"
"RPLP2",-0.576643449818694,1.29592126077371e-12,1.11276733787733e-10,-0.219639652114001,0.0130971960454212,0.0485219194973866,1.31406202704219,"Not significant"
"UBC",0.321693764398635,0.00022603143967648,0.00149650657653172,0.244056175417187,0.00569016289050664,0.0249496416054935,1.60293568851251,"Not significant"
"CCR6",-0.171004040341373,0.0545746341168508,0.14939837760575,-0.183498235475293,0.0389189729060985,0.114241329990028,0.942176749510758,"Not significant"
"UBA52",-0.377221234953266,1.23306449051692e-05,0.000115540668591863,-0.349434097248921,5.6570192373463e-05,0.000553793568063796,3.25665209259662,"Significant"
"S100A8",0.0595965865879461,0.50568546601012,0.696209950714053,0.188446627636306,0.0338598900421514,0.102537430617536,0.989117569308402,"Not significant"
"EEF1A1",-0.0556759244288895,0.534129534749179,0.71812853666238,0.431308961060132,4.14067488335406e-07,8.69576288733763e-06,5.06069231093243,"Significant"
"MSH3",0.0247752767817521,0.782175543486298,0.884301782015176,-0.0977621405365093,0.274195453667327,0.46258645873025,0.334807084459487,"Not significant"
"ITGB2",0.591500155773994,2.43743020876985e-13,2.5340209348116e-11,0.460066418832495,5.27749388052635e-08,1.52616630505934e-06,5.81639813909787,"Significant"
"LILRB3",-0.152427756235904,0.0871177913839677,0.212362805293018,-0.240205351698487,0.00652508777710741,0.0278339578474475,1.55542503480525,"Not significant"
"UBB",-0.399286239469888,3.31692836945013e-06,3.68272731010573e-05,-0.301036684207065,0.000583646084071316,0.00381500437234352,2.41850495996766,"Significant"
"LOC400721",-0.0488189356981098,0.585721215944854,0.75768214674053,-0.172240424555821,0.0528240794075139,0.144036847322766,0.841526393030482,"Not significant"
"GGA1",-0.0276001096253763,0.758066516685734,0.870606568670654,-0.107640427538968,0.228374973730062,0.408774093895336,0.388516635463384,"Not significant"
"LOC643509",-0.181959632599427,0.0406157628827606,0.118875288316353,-0.291999793666601,0.00086522678270512,0.00530573111452388,2.27525476310557,"Not significant"
"PFN1",0.421295962280826,8.12298965183593e-07,1.06496246300438e-05,0.300504218105829,0.000597554667582924,0.00389478701598932,2.40951628646629,"Significant"
"LCP1",0.619166124401522,8.55375187206218e-15,1.17597728606127e-12,0.448266114629733,1.25754634021119e-07,3.18209469259655e-06,5.49728690078615,"Significant"
"PDE4C",-0.0196918338792604,0.826071441078214,0.908870047933126,-0.0794119127307655,0.374820015682408,0.567065971428158,0.246366413134354,"Not significant"
"TYROBP",0.587356067234862,3.91794884643826e-13,3.85045605576329e-11,0.392680059953546,4.96356433467687e-06,7.06619096551247e-05,4.15081462982962,"Significant"
"KIAA0101",0.209736041980597,0.0179512943695612,0.0624152314875332,-0.00863706890579016,0.923223359175724,0.959808946012481,0.0178152064917937,"Not significant"
"MGC16703",0.0503181342600251,0.574248241493332,0.748498161212865,-0.155715770518533,0.0804368482633582,0.196343326424549,0.706983855515273,"Not significant"
"ALOX5AP",0.574539703156909,1.63080040278865e-12,1.36764357779199e-10,0.407783686377554,1.94971697946925e-06,3.19147231531991e-05,4.49600891853981,"Significant"
"SRGN",0.616850494055918,1.1466151551305e-14,1.5593346317799e-12,0.443793119440672,1.73294505211753e-07,4.13262223376539e-06,5.38377429210262,"Significant"
"CSF3R",0.47150401296004,2.20335169555005e-08,4.82035872246467e-07,0.113570879984149,0.203607036315902,0.3788027380516,0.421586890501913,"Not significant"
